1929-10-01 23:00:00, 1929-10-03 01:00:00, 15.550375, 1 day, 2:00:00, 0.0 
1929-11-18 14:00:00, 1929-11-19 01:00:00, 2.124965, 11:00:00, 0.0 
1929-11-24 07:00:00, 1929-11-24 08:00:00, 1.116328, 1:00:00, 0.0 
1929-12-19 15:00:00, 1929-12-19 15:00:00, 1.173724, 0:00:00, 0.0 
1929-12-23 16:00:00, 1929-12-24 09:00:00, 13.646979, 17:00:00, 0.0 
1930-01-12 07:00:00, 1930-01-12 07:00:00, 0.874233, 0:00:00, 0.0 
1930-01-15 13:00:00, 1930-01-15 13:00:00, 1.083612, 0:00:00, 0.0 
1930-01-18 13:00:00, 1930-01-18 15:00:00, 2.521583, 2:00:00, 0.0 
1930-01-30 14:00:00, 1930-01-31 15:00:00, 12.771733, 1 day, 1:00:00, 0.0 
1930-02-05 02:00:00, 1930-02-05 17:00:00, 3.723928, 15:00:00, 0.0 
1930-02-26 23:00:00, 1930-02-26 23:00:00, 0.880213, 0:00:00, 0.0 
1930-03-08 03:00:00, 1930-03-08 19:00:00, 11.665481, 16:00:00, 0.0 
1930-04-07 06:00:00, 1930-04-07 06:00:00, 1.085517, 0:00:00, 0.0 
1930-08-21 21:00:00, 1930-08-21 23:00:00, 2.498245, 2:00:00, 0.0 
1930-08-22 11:00:00, 1930-08-23 21:00:00, 14.356176, 1 day, 10:00:00, 0.0 
1930-10-08 13:00:00, 1930-10-09 14:00:00, 10.313398, 1 day, 1:00:00, 0.0 
1930-11-04 12:00:00, 1930-11-05 13:00:00, 13.597933, 1 day, 1:00:00, 0.0 
1930-11-19 12:00:00, 1930-11-19 14:00:00, 2.190026, 2:00:00, 0.0 
1930-11-25 04:00:00, 1930-11-25 04:00:00, 0.943268, 0:00:00, 0.0 
1930-12-07 00:00:00, 1930-12-08 01:00:00, 6.175709, 1 day, 1:00:00, 0.0 
1930-12-27 16:00:00, 1930-12-27 16:00:00, 0.931413, 0:00:00, 0.0 
1930-12-28 05:00:00, 1930-12-28 07:00:00, 1.986662, 2:00:00, 0.0 
1930-12-29 06:00:00, 1930-12-29 08:00:00, 0.885078, 2:00:00, 0.0 
1931-01-05 23:00:00, 1931-01-06 14:00:00, 11.073159, 15:00:00, 0.0 
1931-01-19 12:00:00, 1931-01-19 15:00:00, 3.823940, 3:00:00, 0.0 
1931-02-21 03:00:00, 1931-02-21 03:00:00, 0.931916, 0:00:00, 0.0 
1931-03-03 22:00:00, 1931-03-05 15:00:00, 33.397115, 1 day, 17:00:00, 0.0 
1931-03-08 13:00:00, 1931-03-09 04:00:00, 13.960355, 15:00:00, 0.0 
1931-03-17 09:00:00, 1931-03-18 01:00:00, 12.541742, 16:00:00, 0.0 
1931-03-23 14:00:00, 1931-03-24 04:00:00, 6.583964, 14:00:00, 0.0 
1931-03-26 17:00:00, 1931-03-27 18:00:00, 2.946340, 1 day, 1:00:00, 0.0 
1931-04-01 13:00:00, 1931-04-02 01:00:00, 6.832617, 12:00:00, 0.0 
1931-04-07 03:00:00, 1931-04-07 16:00:00, 4.067103, 13:00:00, 0.0 
1931-06-10 09:00:00, 1931-06-10 22:00:00, 5.585710, 13:00:00, 0.0 
1931-08-11 23:00:00, 1931-08-11 23:00:00, 1.100219, 0:00:00, 0.0 
1931-08-22 19:00:00, 1931-08-22 19:00:00, 1.073827, 0:00:00, 0.0 
1931-08-23 07:00:00, 1931-08-24 09:00:00, 15.492320, 1 day, 2:00:00, 0.0 
1931-08-24 21:00:00, 1931-08-24 21:00:00, 1.057809, 0:00:00, 0.0 
1931-09-28 13:00:00, 1931-09-28 13:00:00, 1.066863, 0:00:00, 0.0 
1932-01-01 05:00:00, 1932-01-02 09:00:00, 31.008648, 1 day, 4:00:00, 0.0 
1932-01-04 07:00:00, 1932-01-04 22:00:00, 8.458936, 15:00:00, 0.0 
1932-01-10 01:00:00, 1932-01-10 16:00:00, 8.631479, 15:00:00, 0.0 
1932-01-23 23:00:00, 1932-01-24 00:00:00, 0.903448, 1:00:00, 0.0 
1932-02-04 22:00:00, 1932-02-05 00:00:00, 2.903781, 2:00:00, 0.0 
1932-02-08 11:00:00, 1932-02-08 15:00:00, 4.243106, 4:00:00, 0.0 
1932-02-28 04:00:00, 1932-02-29 19:00:00, 17.640448, 1 day, 15:00:00, 0.0 
1932-03-02 06:00:00, 1932-03-05 00:00:00, 34.163927, 2 days, 18:00:00, 0.0 
1932-03-06 13:00:00, 1932-03-07 02:00:00, 18.992616, 13:00:00, 0.0 
1932-03-22 12:00:00, 1932-03-22 13:00:00, 1.091510, 1:00:00, 0.0 
1932-04-10 14:00:00, 1932-04-11 04:00:00, 6.066833, 14:00:00, 0.0 
1932-04-11 16:00:00, 1932-04-11 16:00:00, 0.877067, 0:00:00, 0.0 
1932-04-12 04:00:00, 1932-04-12 04:00:00, 1.010390, 0:00:00, 0.0 
1932-05-12 18:00:00, 1932-05-12 18:00:00, 0.874537, 0:00:00, 0.0 
1932-09-08 08:00:00, 1932-09-09 10:00:00, 30.909682, 1 day, 2:00:00, 0.0 
1932-09-16 15:00:00, 1932-09-16 23:00:00, 1.109454, 8:00:00, 0.0 
1932-10-18 11:00:00, 1932-10-18 12:00:00, 0.932368, 1:00:00, 0.0 
1932-11-08 07:00:00, 1932-11-08 07:00:00, 0.971517, 0:00:00, 0.0 
1932-11-08 20:00:00, 1932-11-11 00:00:00, 80.465997, 2 days, 4:00:00, 0.0 
1932-11-19 13:00:00, 1932-11-19 17:00:00, 4.756169, 4:00:00, 0.0 
1932-11-27 13:00:00, 1932-11-27 14:00:00, 0.923307, 1:00:00, 0.0 
1932-11-30 03:00:00, 1932-11-30 03:00:00, 0.944851, 0:00:00, 0.0 
1932-11-30 15:00:00, 1932-12-01 04:00:00, 5.825514, 13:00:00, 0.0 
