1935-04-07 02:00:00, 1935-04-09 08:00:00, 24.371801, 2 days, 6:00:00, 0.0 
1935-04-11 08:00:00, 1935-04-11 11:00:00, 0.720895, 3:00:00, 0.0 
1935-04-11 23:00:00, 1935-04-13 13:00:00, 16.255679, 1 day, 14:00:00, 0.0 
1935-04-16 03:00:00, 1935-04-16 03:00:00, 0.761866, 0:00:00, 0.0 
1935-08-08 05:00:00, 1935-08-08 05:00:00, 0.632205, 0:00:00, 0.0 
1935-11-01 18:00:00, 1935-11-02 08:00:00, 6.130624, 14:00:00, 0.0 
1935-11-14 06:00:00, 1935-11-14 20:00:00, 3.935683, 14:00:00, 0.0 
1935-11-15 19:00:00, 1935-11-18 23:00:00, 66.343636, 3 days, 4:00:00, 0.0 
1935-11-23 12:00:00, 1935-11-23 12:00:00, 0.786216, 0:00:00, 0.0 
1935-12-13 06:00:00, 1935-12-15 19:00:00, 38.398100, 2 days, 13:00:00, 0.0 
1936-01-19 09:00:00, 1936-01-19 12:00:00, 2.386849, 3:00:00, 0.0 
1936-02-07 11:00:00, 1936-02-07 18:00:00, 10.665938, 7:00:00, 0.0 
1936-02-11 06:00:00, 1936-02-11 06:00:00, 0.719269, 0:00:00, 0.0 
1936-02-15 05:00:00, 1936-02-16 10:00:00, 6.930490, 1 day, 5:00:00, 0.0 
1936-02-22 16:00:00, 1936-02-22 16:00:00, 0.680960, 0:00:00, 0.0 
1936-03-18 10:00:00, 1936-03-18 20:00:00, 1.278890, 10:00:00, 0.0 
1936-03-21 00:00:00, 1936-03-21 02:00:00, 1.479667, 2:00:00, 0.0 
1936-04-03 09:00:00, 1936-04-03 09:00:00, 0.661184, 0:00:00, 0.0 
1936-06-24 03:00:00, 1936-06-24 07:00:00, 3.037097, 4:00:00, 0.0 
1936-06-25 03:00:00, 1936-06-25 08:00:00, 4.051165, 5:00:00, 0.0 
1936-09-18 00:00:00, 1936-09-18 21:00:00, 56.018342, 21:00:00, 0.0 
1936-09-30 14:00:00, 1936-09-30 17:00:00, 2.895042, 3:00:00, 0.0 
1936-10-17 03:00:00, 1936-10-17 03:00:00, 0.879088, 0:00:00, 0.0 
1936-10-27 09:00:00, 1936-10-27 14:00:00, 2.208548, 5:00:00, 0.0 
1936-12-13 16:00:00, 1936-12-13 16:00:00, 0.682200, 0:00:00, 0.0 
1936-12-19 15:00:00, 1936-12-19 15:00:00, 0.685440, 0:00:00, 0.0 
1937-01-20 19:00:00, 1937-01-20 21:00:00, 1.398238, 2:00:00, 0.0 
1937-01-24 00:00:00, 1937-01-24 01:00:00, 0.737966, 1:00:00, 0.0 
1937-01-27 16:00:00, 1937-01-27 17:00:00, 0.662880, 1:00:00, 0.0 
1937-01-28 05:00:00, 1937-02-01 06:00:00, 68.674200, 4 days, 1:00:00, 0.0 
1937-02-01 18:00:00, 1937-02-01 18:00:00, 0.678547, 0:00:00, 0.0 
1937-02-02 08:00:00, 1937-02-02 08:00:00, 0.699788, 0:00:00, 0.0 
1937-02-05 07:00:00, 1937-02-08 00:00:00, 33.220845, 2 days, 17:00:00, 0.0 
1937-02-17 06:00:00, 1937-02-17 09:00:00, 2.568345, 3:00:00, 0.0 
1937-02-18 18:00:00, 1937-02-19 11:00:00, 6.647174, 17:00:00, 0.0 
1937-02-22 12:00:00, 1937-02-22 14:00:00, 1.428540, 2:00:00, 0.0 
1937-04-25 04:00:00, 1937-04-27 17:00:00, 28.596014, 2 days, 13:00:00, 0.0 
1937-07-20 21:00:00, 1937-07-22 04:00:00, 17.162985, 1 day, 7:00:00, 0.0 
1937-09-07 15:00:00, 1937-09-07 15:00:00, 0.826546, 0:00:00, 0.0 
1937-09-28 10:00:00, 1937-09-28 10:00:00, 0.719691, 0:00:00, 0.0 
1937-11-12 11:00:00, 1937-11-14 00:00:00, 16.701626, 1 day, 13:00:00, 0.0 
